name,rest_type
Szechuan Dragon,Casual Dining
1947,Casual Dining
Caf-Eleven,Cafe
Thamboola,Casual Dining
Ferment,Casual Dining
Ferment,Bar
Havyaka Mess,Mess
San Churro Cafe,Cafe
San Churro Cafe,Casual Dining
Cafe Vivacity,Cafe
Chung Wah,Casual Dining
Vietnamese Kitchen,Casual Dining
Blue Wings Bar & Restaurant,Bar
Blue Wings Bar & Restaurant,Casual Dining
Anand Sweets and Savouries,Sweet Shop
Anand Sweets and Savouries,Quick Bites
Catch-up-ino,Cafe
Kirthi's Biryani,Cafe
T3H Cafe,Cafe
Srikrishna Bhavan,Quick Bites
Dal Tadkaa,Casual Dining
360 Atoms Restaurant And Cafe,Cafe
New Imperial Restaurant,Casual Dining
The Vintage Cafe,Cafe
Green Gardenia,Casual Dining
Parimala Sweets,Sweet Shop
Vaishali Deluxe,Casual Dining
Paradise Premium,Casual Dining
Kadala Tarangaa,Casual Dining
My Tea House,Casual Dining
Sri Yaksha Shiv Sagar,Casual Dining
Nandhini Deluxe,Casual Dining
Corner Stone,Beverage Shop
Corner Stone,Quick Bites
Karavali Fish Center,Quick Bites
Ayda Persian Kitchen,Casual Dining
J Spice,Casual Dining
Swadesh Tadka,Casual Dining
Iyer's Tiffin Centre,Quick Bites
Kydz Adda,Casual Dining
K27 - The Pub,Bar
Kotian Karavali Restaurant,Quick Bites
Food Box Cafe,Casual Dining
Hide Out Cafe,Cafe
Linnet Bar & Restaurant,Bar
CAFE NOVA,Cafe
Darbar,Bar
Sri Ganesh Juice and Chats,Beverage Shop
Sri Ganesh Juice and Chats,Quick Bites
Manifest Cafe,Casual Dining
Beijing Bites,Casual Dining
Karavali Lunch Home,Quick Bites
The Pizzeria,Casual Dining
Sri Krishna Sagar,Casual Dining
Lassi Stop,Beverage Shop
Lassi Stop,Quick Bites
Sea Green Cafe,Cafe
Cafe Coffee Day,Cafe
Kaumudis Juoice,Beverage Shop
Kaumudis Juoice,Quick Bites
As On Fire,Food Truck
Pizza Hut,Casual Dining
New Prashanth Hotel,Casual Dining
Taaza Thindi,Quick Bites
Hyderabad Express,Quick Bites
Ayodhya Upachar,Quick Bites
Petoo,Quick Bites
Roving Feast,Quick Bites
KFC,Quick Bites
Five Star Chicken,Quick Bites
Gama Gama,Quick Bites
Hotel New Karavali,Quick Bites
Kaapi Corner,Quick Bites
McDonald's,Quick Bites
Sri Laxmi Venkateshwara Coffee Bar,Quick Bites
Bhattara Bhojana,Quick Bites
Davanagere Benne Dose Hut,Quick Bites
Utsav Restaurant,Quick Bites
Messy Bowl,Quick Bites
Devanna Dum Biriyani Centre,Quick Bites
Janahaar,Quick Bites
Stop 'N' Joy,Quick Bites
Dodda Mane Baaduta,Quick Bites
Chickpet Donne Biryani House,Quick Bites
Brahmin Cafe,Quick Bites
Chumma Delicious,Quick Bites
Udupi Upachar,Quick Bites
Bengaluru Coffee House,Quick Bites
Foodiction,Quick Bites
The Biryani Cafe,Quick Bites
Spicy Tandoor,Quick Bites
Banashankari Donne Biriyani,Quick Bites
Addhuri Udupi Bhojana,Quick Bites
Vasanth Vihar - Since 1965,Quick Bites
Subway,Quick Bites
SGS Non Veg - Gundu Pulav,Quick Bites
Udupi Ruchi Grand,Quick Bites
Hotel Mangala,Quick Bites
Simple Thindies,Quick Bites
Rolls On Wheels,Quick Bites
Chilli Flakes,Quick Bites
Kababs N Biryani,Quick Bites
Udupi Ruchi,Quick Bites
SLV Swadishta,Quick Bites
Kolbeh,Quick Bites
Kolkata Kathi Roll's,Quick Bites
Mylari Biryani Family Restaurant,Quick Bites
Upahar Sagar,Quick Bites
Domino's Pizza,Quick Bites
New Sagar Fast Food,Quick Bites
Namma Biryani,Quick Bites
Chill Out,Quick Bites
Thrilok Restaurant,Quick Bites
Ande Ka Funda,Quick Bites
Dakshin Grand,Quick Bites
Chicken Hunt,Quick Bites
7 Hills Garden Restaurant,Quick Bites
Maruthi Davangere Benne Dosa,Quick Bites
Shri Guru Raghavendra Grand Veg,Quick Bites
Pizza Stop,Quick Bites
Madhappa Hindu Military Hotel,Quick Bites
Krishna Sagar,Quick Bites
