name,cuisines
Kataria's Pakwan,North Indian
Juicy Momos,Tibetan
Juicy Momos,Momos
Amande Patisserie,Bakery
Amande Patisserie,French
Amande Patisserie,Desserts
Anand Sweets and Savouries,Mithai
Anand Sweets and Savouries,Street Food
Chicken Hunt,South Indian
Chicken Hunt,North Indian
Chicken Hunt,Chinese
Chicken Hunt,Biryani
Swadesh Tadka,North Indian
Swadesh Tadka,Chinese
Swadesh Tadka,Beverages
Cane-O-La,Juices
New Biryani Mane,North Indian
New Biryani Mane,Chinese
New Biryani Mane,Biryani
New Biryani Mane,South Indian
Upahara Darshini,South Indian
Upahara Darshini,North Indian
Upahara Darshini,Chinese
Karnataka Bhel House,Street Food
Sreeraj Lassi Bar,Beverages
Juice Junction Food Court,Juices
Juice Junction Food Court,South Indian
Juice Junction Food Court,Chinese
Juice Junction Food Court,Fast Food
Bunt's Biriyani Palace,North Indian
Bunt's Biriyani Palace,South Indian
Bunt's Biriyani Palace,Chinese
Bunt's Biriyani Palace,Biryani
Bunt's Biriyani Palace,Seafood
Chai Point,Tea
Chai Point,Beverages
Chai Point,Fast Food
Janahaar,South Indian
Redberrys,Cafe
Redberrys,Italian
Utsav,North Indian
Utsav,Street Food
Meat And Eat,Fast Food
Meat And Eat,Burger
Snacks Bite,Fast Food
Snacks Bite,Momos
The Spice Saga,Biryani
The Spice Saga,North Indian
The Spice Saga,Chinese
The Spice Saga,Seafood
Dakshin Cafe,South Indian
Mr. Parathewala,North Indian
Kaulige Millet Corner,Healthy Food
Kaulige Millet Corner,South Indian
Ifruit Ice Cream,Desserts
Ifruit Ice Cream,Ice Cream
Havmor,Ice Cream
Havmor,Desserts
